Proposal ID,Programme Name,Sub-programme Name,Supplement,Lead Applicant,ORCID,Research Body,Funder Name,Crossref Funder Registry ID,Proposal Title,Start Date,End Date,Revised Total Commitment
13/IF/I2631,SFI Industry Fellowship Programme,,,Daniel O'Toole,https://orcid.org/0000-0001-5422-8711,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Development of a Regulatory Compliant Cell Product for Acute Respiratory Distress Syndrome,01/01/2014,31/12/2014,117382.78
13/IF/I2633,SFI Industry Fellowship Programme,,,Ronan Grimes,https://orcid.org/0000-0002-3773-1638,University of Limerick (UL),Science Foundation Ireland,10.13039/501100001602,Thermo-fluidic characterisation and modelling of a dry cooled condenser in a conentrated solar power plant,24/03/2014,23/12/2014,50414
13/IF/I2778,SFI Industry Fellowship Programme,,,Conor Cahalane,https://orcid.org/0000-0003-1657-5688,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Development of automated coastal bathymetric methodology using applied Remote Sensing techniques,01/02/2014,31/01/2016,67454.4
13/IF/I2781,SFI Industry Fellowship Programme,,,Mohammad Karzand,,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Rateless Coding in the Cloud,01/02/2014,31/03/2015,74601.49
13/IF/I2782,SFI Industry Fellowship Programme,,,Paul Lewis,https://orcid.org/0000-0001-9727-6588,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Novel LiDAR Web services for mapping & monitoring Road Network Infrastructure,01/01/2014,31/12/2015,78216.44
13/IF/I2783,SFI Industry Fellowship Programme,,,Gavin McArdle,https://orcid.org/0000-0003-0613-546X,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Simulating Human Mobility in Dublin,01/02/2014,31/08/2015,55141.48
13/IF/I2784,SFI Industry Fellowship Programme,,,Timothy McCarthy,https://orcid.org/0000-0003-4865-3644,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Delivering innovative geospatial information services for foresty applications based on unmanned aerial vehicle (UAV) sensor data fusion,01/01/2014,30/06/2016,125789.29
13/IF/I2785,SFI Industry Fellowship Programme,,,Stephen O'Brien,,Tyndall National Institute (TNI),Science Foundation Ireland,10.13039/501100001602,Design optimisation of Wavelength Division Multiplexing Devices Based on Multi-Channel Grating Filters,01/09/2013,31/03/2015,108039.21
13/IF/I2786,SFI Industry Fellowship Programme,,,Diarmuid O'Connell,https://orcid.org/0000-0002-2694-956X,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Efficient energy conversion electronic systems for small-scale vibration energy harvesters,06/01/2014,05/07/2015,35866.46
13/IF/I2789,SFI Industry Fellowship Programme,,,Anthony Ventresque,https://orcid.org/0000-0003-2064-1238,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,MOB-SIM@ A mobility simulation platform for enabling smarter intermodal transportation,01/05/2014,31/10/2015,79650.76
13/ISCA/2843,SFI International Strategic Cooperation Award,,,VP Research (DCU),,Dublin City University (DCU),Science Foundation Ireland,10.13039/501100001602,Ireland-Brazil ISCA Programme,01/04/2014,31/07/2015,590538.98
13/ISCA/2844,SFI International Strategic Cooperation Award,,,Dean of Research (TCD),,Trinity College Dublin (TCD),Science Foundation Ireland,10.13039/501100001602,Ireland-India ISCA Programme,01/09/2014,30/04/2016,633421.1
13/ISCA/2845,SFI International Strategic Cooperation Award,,,VP Research (MU),,"National University of Ireland, Maynooth (NUIM)",Science Foundation Ireland,10.13039/501100001602,Ireland-China ISCA Programme,01/06/2014,30/11/2015,546926.9
13/ISCA/2846,SFI International Strategic Cooperation Award,,,VP Research (NUIG),,"National University of Ireland, Galway (NUIG)",Science Foundation Ireland,10.13039/501100001602,Ireland-Japan ISCA Progamme,01/03/2014,30/11/2016,1101221
13/ISCA/2847,SFI International Strategic Cooperation Award,,,VP Research (UCD),,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Ireland-China ISCA Programme,01/04/2014,30/04/2016,583920.02
13/IA/1979(T),SFI Investigator Programme,Non-Themed and Non-ERC,,Michael Peter Kennedy,https://orcid.org/0000-0003-3242-1056,University College Dublin (UCD),Science Foundation Ireland,10.13039/501100001602,Advanced Frequency Synthesis Informed by Nonlinear Dynamics,01/10/2017,30/09/2020,866228
